Date,CO_ppm,NO2_ppb,PM25_ugm3,YearMonth
2017-01-01,0.4,17.8,5.7,2017-01
2017-01-02,0.5,32.7,4.2,2017-01
2017-01-03,0.4,26.4,3.6,2017-01
2017-01-04,0.6,37.4,4.9,2017-01
2017-01-05,1.1,51.0,12.2,2017-01
2017-01-06,1.1,45.7,11.8,2017-01
2017-01-07,0.9,50.7,6.1,2017-01
2017-01-08,0.8,45.5,6.2,2017-01
2017-01-09,0.7,43.0,6.2,2017-01
2017-01-10,0.5,21.9,4.0,2017-01
2017-01-11,0.6,35.3,5.4,2017-01
2017-01-12,0.7,45.5,7.7,2017-01
2017-01-13,0.5,34.5,7.9,2017-01
2017-01-14,1.0,38.6,11.4,2017-01
2017-01-15,1.5,43.9,25.3,2017-01
2017-01-16,1.5,46.3,21.0,2017-01
2017-01-17,0.9,,11.1,2017-01
2017-01-18,0.7,,1.9,2017-01
2017-01-19,0.5,36.0,3.8,2017-01
2017-01-20,0.6,35.3,4.3,2017-01
2017-01-21,0.9,34.9,10.8,2017-01
2017-01-22,0.5,34.4,4.4,2017-01
2017-01-23,0.8,31.5,6.0,2017-01
2017-01-24,1.0,41.8,15.0,2017-01
2017-01-25,1.1,27.3,16.7,2017-01
2017-01-26,0.8,,13.5,2017-01
2017-01-27,0.8,,7.2,2017-01
2017-01-28,0.7,40.7,7.4,2017-01
2017-01-29,0.6,25.9,7.4,2017-01
2017-01-30,0.5,23.8,4.7,2017-01
2017-01-31,0.4,24.9,3.0,2017-01
2017-02-01,0.4,25.7,2.7,2017-02
2017-02-02,0.5,38.7,2.1,2017-02
2017-02-03,0.7,58.5,5.9,2017-02
2017-02-04,0.5,34.7,4.4,2017-02
2017-02-05,0.4,19.5,2.4,2017-02
2017-02-06,0.5,43.7,5.2,2017-02
2017-02-07,0.4,30.2,4.4,2017-02
2017-02-08,0.5,31.8,5.2,2017-02
2017-02-09,0.5,32.7,3.0,2017-02
2017-02-10,0.4,48.1,3.5,2017-02
2017-02-11,0.6,31.4,4.6,2017-02
2017-02-12,0.6,37.6,7.7,2017-02
2017-02-13,,46.7,10.4,2017-02
2017-02-14,,51.1,17.3,2017-02
2017-02-15,,40.9,5.1,2017-02
2017-02-16,0.6,43.1,4.2,2017-02
2017-02-17,0.5,38.1,3.9,2017-02
2017-02-18,0.6,38.4,6.1,2017-02
2017-02-19,0.5,22.5,3.0,2017-02
2017-02-20,0.6,41.8,4.3,2017-02
2017-02-21,0.5,35.2,4.8,2017-02
2017-02-22,0.5,34.5,4.6,2017-02
2017-02-23,0.8,38.5,8.5,2017-02
2017-02-24,0.7,43.9,6.2,2017-02
2017-02-25,0.6,30.8,6.5,2017-02
2017-02-26,0.5,22.0,2.3,2017-02
2017-02-27,0.6,36.1,5.4,2017-02
2017-02-28,0.5,38.4,5.4,2017-02
2017-03-01,0.5,38.2,3.8,2017-03
2017-03-02,0.5,39.1,3.9,2017-03
2017-03-03,0.5,46.9,3.1,2017-03
2017-03-04,0.4,28.9,2.2,2017-03
2017-03-05,0.4,19.5,1.9,2017-03
2017-03-06,0.5,36.6,2.9,2017-03
2017-03-07,0.4,34.7,2.7,2017-03
2017-03-08,0.5,45.6,4.7,2017-03
2017-03-09,0.6,40.9,5.7,2017-03
2017-03-10,0.7,45.2,4.5,2017-03
2017-03-11,0.7,40.6,5.9,2017-03
2017-03-12,0.5,25.8,3.6,2017-03
2017-03-13,0.7,37.3,6.7,2017-03
2017-03-14,0.5,41.7,4.1,2017-03
2017-03-15,0.5,50.8,3.4,2017-03
2017-03-16,0.7,37.3,4.3,2017-03
2017-03-17,0.7,36.9,7.1,2017-03
2017-03-18,0.5,28.0,2.3,2017-03
2017-03-19,0.5,27.5,4.6,2017-03
2017-03-20,0.7,42.6,4.9,2017-03
2017-03-21,0.8,54.6,7.6,2017-03
2017-03-22,0.4,47.6,3.2,2017-03
2017-03-23,0.6,37.8,4.3,2017-03
2017-03-24,0.5,37.8,4.1,2017-03
2017-03-25,0.5,24.7,3.4,2017-03
2017-03-26,0.5,38.7,3.3,2017-03
2017-03-27,0.4,36.0,4.6,2017-03
2017-03-28,0.4,32.8,3.2,2017-03
2017-03-29,0.5,27.6,2.0,2017-03
2017-03-30,0.5,36.1,3.7,2017-03
2017-03-31,0.7,48.2,10.4,2017-03
2017-04-01,0.6,29.7,7.5,2017-04
2017-04-02,0.3,23.2,5.5,2017-04
2017-04-03,0.5,47.6,7.0,2017-04
2017-04-04,0.8,48.1,10.0,2017-04
2017-04-05,0.6,44.0,6.7,2017-04
2017-04-06,0.5,39.9,4.7,2017-04
2017-04-07,0.3,33.1,4.5,2017-04
2017-04-08,0.4,22.1,4.0,2017-04
2017-04-09,0.6,41.9,5.9,2017-04
2017-04-10,0.5,40.5,5.1,2017-04
2017-04-11,0.5,36.7,3.3,2017-04
2017-04-12,,,4.7,2017-04
2017-04-13,0.5,30.3,4.7,2017-04
2017-04-14,0.4,38.5,4.9,2017-04
2017-04-15,0.5,31.7,5.6,2017-04
2017-04-16,0.7,43.1,7.5,2017-04
2017-04-17,0.6,39.7,6.4,2017-04
2017-04-18,0.4,36.9,6.0,2017-04
2017-04-19,0.6,36.7,7.4,2017-04
2017-04-20,0.5,37.0,6.6,2017-04
2017-04-21,0.6,47.6,4.7,2017-04
2017-04-22,0.5,44.4,3.1,2017-04
2017-04-23,0.4,22.2,3.5,2017-04
2017-04-24,0.4,32.0,3.5,2017-04
2017-04-25,0.5,34.3,3.4,2017-04
2017-04-26,0.4,31.3,3.0,2017-04
2017-04-27,0.5,40.4,4.8,2017-04
2017-04-28,0.6,41.5,6.2,2017-04
2017-04-29,0.5,23.6,5.8,2017-04
2017-04-30,0.4,22.0,3.0,2017-04
2017-05-01,0.6,,5.0,2017-05
2017-05-02,0.7,,6.7,2017-05
2017-05-03,0.6,29.0,7.0,2017-05
2017-05-04,0.6,28.5,9.0,2017-05
2017-05-05,0.4,31.4,4.5,2017-05
2017-05-06,0.5,29.5,3.5,2017-05
2017-05-07,0.5,19.8,3.1,2017-05
2017-05-08,0.6,31.8,5.9,2017-05
2017-05-09,0.5,40.3,6.8,2017-05
2017-05-10,0.6,54.4,8.0,2017-05
