"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/05/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","16","67.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/06/2024","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/07/2024","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/08/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/09/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/10/2024","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/11/2024","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/12/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/13/2024","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/14/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
