YearMonth,VMT
2017-01,4113
2017-02,4261
2017-03,5060
2017-04,5070
2017-05,5710
2017-06,5704
2017-07,5799
2017-08,5732
2017-09,5668
2017-10,5015
2017-11,4757
2017-12,4680
2018-01,4383
2018-02,4474
2018-03,5186
2018-04,5077
2018-05,5871
2018-06,5729
2018-07,5841
2018-08,5603
2018-09,5647
2018-10,5302
2018-11,4906
2018-12,4819
2019-01,4586
2019-02,4089
2019-03,5245
2019-04,3094
2019-05,6041
2019-06,5881
2019-07,5816
2019-08,5626
2019-09,5721
2019-10,5241
2019-11,4811
2019-12,4813
2020-01,4293
2020-02,4712
2020-03,3943
2020-04,3527
2020-05,4111
2020-06,4498
2020-07,5088
2020-08,4958
2020-09,5187
2020-10,4656
2020-11,4203
2020-12,4223
2021-01,3905
2021-02,4548
2021-03,4953
2021-04,4793
2021-05,5555
2021-06,5737
2021-07,5743
2021-08,5359
2021-09,5619
2021-10,4979
2021-11,4715
2021-12,4420
2022-01,4112
2022-02,4024
2022-03,5010
2022-04,4928
2022-05,5379
2022-06,5581
2022-07,6133
2022-08,6174
2022-09,5467
2022-10,5209
2022-11,4499
2022-12,4027
2023-01,4212
2023-02,3772
2023-03,4750
2023-04,4698
2023-05,5387
2023-06,5537
2023-07,5945
2023-08,5885
2023-09,5216
2023-10,5015
2023-11,4527
2023-12,4438
2024-01,4098
2024-02,3931
2024-03,4903
2024-04,4911
2024-05,5481
